id,signal_id,market_ticker,platform,event_slug,market_type,direction,entry_price,size,timestamp,settled,settlement_time,settlement_value,result,pnl,model_probability,market_price_at_entry,edge_at_entry,execution_type,order_id,limit_price,order_status,order_placed_at,confidence
12,56501,KXHIGHCHI-26AUG09-T90,kalshi,KXHIGHCHI-26AUG09-T90,weather,yes,0.02,50,2026-08-09 13:24:41.413475,true,2026-08-09 15:29:43.539317,1,win,49,0.98,0.02,0.96,,,,,,
13,56502,KXHIGHMIA-26AUG09-T94,kalshi,KXHIGHMIA-26AUG09-T94,weather,yes,0.02,50,2026-08-09 13:24:41.914544,true,2026-08-09 15:29:43.704802,1,win,49,0.98,0.02,0.96,,,,,,
14,56503,KXHIGHTBOS-26AUG09-B87.5,kalshi,KXHIGHTBOS-26AUG09-B87.5,weather,yes,0.04,50,2026-08-09 13:24:42.433107,true,2026-08-10 02:09:46.563242,1,win,48,0.98,0.04,0.94,,,,,,
15,56676,KXHIGHLAX-26AUG10-B74.5,kalshi,KXHIGHLAX-26AUG10-B74.5,weather,yes,0.04,42.5,2026-08-09 14:01:13.017263,true,2026-08-10 02:09:46.728362,1,win,40.8,0.98,0.04,0.94,,,,,,
16,56814,KXHIGHMIA-26AUG10-T95,kalshi,KXHIGHMIA-26AUG10-T95,weather,yes,0.05,40.375,2026-08-09 14:16:12.209383,true,2026-08-10 02:09:46.893595,1,win,38.36,0.98,0.05,0.93,,,,,,
17,57335,KXHIGHTBOS-26AUG09-T94,kalshi,KXHIGHTBOS-26AUG09-T94,weather,yes,0.03,38.35625,2026-08-09 15:16:09.103636,true,2026-08-09 15:29:43.869956,1,win,37.21,0.98,0.03,0.95,,,,,,
18,57578,KXHIGHCHI-26AUG09-T90,kalshi,KXHIGHCHI-26AUG09-T90,weather,yes,0.02,43.1989375,2026-08-09 15:34:42.159072,true,2026-08-09 15:39:24.077117,1,win,42.33,0.98,0.02,0.96,,,,,,
19,57580,KXHIGHTBOS-26AUG09-T94,kalshi,KXHIGHTBOS-26AUG09-T94,weather,yes,0.03,43.1989375,2026-08-09 15:34:42.73804,true,2026-08-09 15:39:23.919358,1,win,41.9,0.98,0.03,0.95,,,,,,
20,57623,KXHIGHCHI-26AUG09-T90,kalshi,KXHIGHCHI-26AUG09-T90,weather,yes,0.02,43.09054375,2026-08-09 15:39:49.672457,true,2026-08-09 15:44:22.71091,1,win,42.23,0.98,0.02,0.96,,,,,,
21,57624,KXHIGHTBOS-26AUG09-T94,kalshi,KXHIGHTBOS-26AUG09-T94,weather,yes,0.03,43.09054375,2026-08-09 15:39:50.168626,true,2026-08-09 15:44:22.88072,1,win,41.8,0.98,0.03,0.95,,,,,,
22,57667,KXHIGHCHI-26AUG09-T90,kalshi,KXHIGHCHI-26AUG09-T90,weather,yes,0.02,42.982989375,2026-08-09 15:44:42.767001,true,2026-08-09 15:49:23.51023,1,win,42.12,0.98,0.02,0.96,,,,,,
23,57668,KXHIGHTBOS-26AUG09-T94,kalshi,KXHIGHTBOS-26AUG09-T94,weather,yes,0.03,42.982989375,2026-08-09 15:44:43.260292,true,2026-08-09 15:49:23.674136,1,win,41.69,0.98,0.03,0.95,,,,,,
24,57710,KXHIGHCHI-26AUG09-T90,kalshi,KXHIGHCHI-26AUG09-T90,weather,yes,0.02,42.8751904375,2026-08-09 15:49:42.921373,true,2026-08-09 15:54:23.761388,1,win,42.02,0.98,0.02,0.96,,,,,,
25,57711,KXHIGHTBOS-26AUG09-T94,kalshi,KXHIGHTBOS-26AUG09-T94,weather,yes,0.03,42.8751904375,2026-08-09 15:49:43.420585,true,2026-08-09 15:54:23.930487,1,win,41.59,0.98,0.03,0.95,,,,,,
26,57754,KXHIGHCHI-26AUG09-T90,kalshi,KXHIGHCHI-26AUG09-T90,weather,yes,0.02,42.76817139375,2026-08-09 15:54:50.062435,true,2026-08-09 15:59:22.040698,1,win,41.91,0.98,0.02,0.96,,,,,,
27,57755,KXHIGHTBOS-26AUG09-T94,kalshi,KXHIGHTBOS-26AUG09-T94,weather,yes,0.03,42.76817139375,2026-08-09 15:54:50.558576,true,2026-08-09 15:59:22.196923,1,win,41.49,0.98,0.03,0.95,,,,,,
28,57797,KXHIGHTBOS-26AUG09-T94,kalshi,KXHIGHTBOS-26AUG09-T94,weather,yes,0.03,42.661354254375,2026-08-09 15:59:42.459406,true,2026-08-09 16:04:23.163898,1,win,41.38,0.98,0.03,0.95,,,,,,
29,57799,KXHIGHDEN-26AUG10-T99,kalshi,KXHIGHDEN-26AUG10-T99,weather,yes,0.04,42.661354254375,2026-08-09 15:59:43.036736,true,2026-08-10 02:09:47.06042,1,win,40.95,0.98,0.04,0.94,,,,,,
30,57839,KXHIGHTBOS-26AUG09-T94,kalshi,KXHIGHTBOS-26AUG09-T94,weather,yes,0.03,40.4642188289375,2026-08-09 16:04:42.124933,true,2026-08-09 16:09:22.126032,1,win,39.25,0.98,0.03,0.95,,,,,,
31,57883,KXHIGHTBOS-26AUG09-T94,kalshi,KXHIGHTBOS-26AUG09-T94,weather,yes,0.03,40.4035078874906,2026-08-09 16:09:41.960892,true,2026-08-09 16:14:23.016203,1,win,39.19,0.98,0.03,0.95,,,,,,
32,58015,KXHIGHTBOS-26AUG09-T94,kalshi,KXHIGHTBOS-26AUG09-T94,weather,yes,0.03,40.342832493116,2026-08-09 16:14:42.015415,true,2026-08-09 16:19:22.805076,1,win,39.13,0.98,0.03,0.95,,,,,,
33,58058,KXHIGHTBOS-26AUG09-T94,kalshi,KXHIGHTBOS-26AUG09-T94,weather,yes,0.03,40.2821908684602,2026-08-09 16:19:41.978486,true,2026-08-10 02:09:47.224771,1,win,39.07,0.98,0.03,0.95,,,,,,
34,61614,KXHIGHCHI-26AUG10-T89,kalshi,KXHIGHCHI-26AUG10-T89,weather,yes,0.01,38.2680813250373,2026-08-10 02:00:01.080516,true,2026-08-10 02:09:47.391191,1,win,37.89,0.98,0.02,0.96,maker_limit,,0.01,filled,2026-08-10 02:00:01.075711,
35,61616,KXHIGHTBOS-26AUG10-T93,kalshi,KXHIGHTBOS-26AUG10-T93,weather,yes,0.01,38.2680813250373,2026-08-10 02:00:01.662146,true,2026-08-10 02:09:47.587542,1,win,37.89,0.967741935483871,0.02,0.947741935483871,maker_limit,,0.01,filled,2026-08-10 02:00:01.414774,
36,61706,KXHIGHCHI-26AUG10-T89,kalshi,KXHIGHCHI-26AUG10-T89,weather,yes,0.01,48.5892731925336,2026-08-10 02:14:45.297889,true,2026-08-10 02:19:34.201947,1,win,48.1,0.98,0.02,0.96,maker_limit,,0.01,filled,2026-08-10 02:14:45.296296,
37,61707,KXHIGHMIA-26AUG10-T95,kalshi,KXHIGHMIA-26AUG10-T95,weather,yes,0.01,48.5892731925336,2026-08-10 02:14:45.916591,true,2026-08-10 02:19:34.374241,1,win,48.1,0.98,0.02,0.96,maker_limit,,0.01,filled,2026-08-10 02:14:45.659283,
38,61708,KXHIGHTBOS-26AUG10-T93,kalshi,KXHIGHTBOS-26AUG10-T93,weather,yes,0.01,48.5892731925336,2026-08-10 02:14:46.427204,true,2026-08-10 02:19:34.538889,1,win,48.1,0.967741935483871,0.02,0.947741935483871,maker_limit,,0.01,filled,2026-08-10 02:14:46.180198,
39,61729,KXHIGHCHI-26AUG10-T89,kalshi,KXHIGHCHI-26AUG10-T89,weather,yes,0.01,48.5158822136535,2026-08-10 02:19:50.28267,true,2026-08-10 02:24:32.997014,1,win,48.03,0.98,0.02,0.96,maker_limit,,0.01,filled,2026-08-10 02:19:50.281397,
40,61730,KXHIGHMIA-26AUG10-T95,kalshi,KXHIGHMIA-26AUG10-T95,weather,yes,0.01,48.5158822136535,2026-08-10 02:19:50.789973,true,2026-08-10 02:24:33.170968,1,win,48.03,0.98,0.02,0.96,maker_limit,,0.01,filled,2026-08-10 02:19:50.534807,
41,61731,KXHIGHTBOS-26AUG10-T93,kalshi,KXHIGHTBOS-26AUG10-T93,weather,yes,0.01,48.5158822136535,2026-08-10 02:19:51.29943,true,2026-08-10 02:24:33.340165,1,win,48.03,0.967741935483871,0.02,0.947741935483871,maker_limit,,0.01,filled,2026-08-10 02:19:51.046283,
42,61752,KXHIGHCHI-26AUG10-T89,kalshi,KXHIGHCHI-26AUG10-T89,weather,yes,0.01,48.4429998816055,2026-08-10 02:24:47.122571,true,2026-08-10 02:29:35.413771,1,win,47.96,0.98,0.02,0.96,maker_limit,,0.01,filled,2026-08-10 02:24:47.120863,
43,61753,KXHIGHMIA-26AUG10-T95,kalshi,KXHIGHMIA-26AUG10-T95,weather,yes,0.01,48.4429998816055,2026-08-10 02:24:47.639998,true,2026-08-10 02:29:35.578911,1,win,47.96,0.98,0.02,0.96,maker_limit,,0.01,filled,2026-08-10 02:24:47.383709,
44,61754,KXHIGHTBOS-26AUG10-T93,kalshi,KXHIGHTBOS-26AUG10-T93,weather,yes,0.01,48.4429998816055,2026-08-10 02:24:48.146933,true,2026-08-10 02:29:35.750584,1,win,47.96,0.967741935483871,0.02,0.947741935483871,maker_limit,,0.01,filled,2026-08-10 02:24:47.90009,
45,61775,KXHIGHCHI-26AUG10-T89,kalshi,KXHIGHCHI-26AUG10-T89,weather,yes,0.01,48.3705498993646,2026-08-10 02:29:48.590564,true,2026-08-10 02:34:33.039169,1,win,47.89,0.98,0.02,0.96,maker_limit,,0.01,filled,2026-08-10 02:29:48.590189,
46,61776,KXHIGHMIA-26AUG10-T95,kalshi,KXHIGHMIA-26AUG10-T95,weather,yes,0.01,48.3705498993646,2026-08-10 02:29:49.110614,true,2026-08-10 02:34:33.213269,1,win,47.89,0.98,0.02,0.96,maker_limit,,0.01,filled,2026-08-10 02:29:48.86242,
47,61777,KXHIGHTBOS-26AUG10-T93,kalshi,KXHIGHTBOS-26AUG10-T93,weather,yes,0.01,48.3705498993646,2026-08-10 02:29:49.599917,true,2026-08-10 02:34:33.37836,1,win,47.89,0.967741935483871,0.02,0.947741935483871,maker_limit,,0.01,filled,2026-08-10 02:29:49.358687,
48,61798,KXHIGHCHI-26AUG10-T89,kalshi,KXHIGHCHI-26AUG10-T89,weather,yes,0.01,48.2984674144599,2026-08-10 02:34:50.161353,true,2026-08-10 02:39:34.055301,1,win,47.82,0.98,0.02,0.96,maker_limit,,0.01,filled,2026-08-10 02:34:50.160152,
49,61799,KXHIGHMIA-26AUG10-T95,kalshi,KXHIGHMIA-26AUG10-T95,weather,yes,0.01,48.2984674144599,2026-08-10 02:34:50.668213,true,2026-08-10 02:39:34.218908,1,win,47.82,0.98,0.02,0.96,maker_limit,,0.01,filled,2026-08-10 02:34:50.416408,
50,61800,KXHIGHTBOS-26AUG10-T93,kalshi,KXHIGHTBOS-26AUG10-T93,weather,yes,0.01,48.2984674144599,2026-08-10 02:34:51.16759,true,2026-08-10 02:39:34.415008,1,win,47.82,0.967741935483871,0.02,0.947741935483871,maker_limit,,0.01,filled,2026-08-10 02:34:50.919732,
51,61821,KXHIGHCHI-26AUG10-T89,kalshi,KXHIGHCHI-26AUG10-T89,weather,yes,0.01,48.2266973022909,2026-08-10 02:39:46.818178,true,2026-08-10 02:44:33.008264,1,win,47.74,0.98,0.02,0.96,maker_limit,,0.01,filled,2026-08-10 02:39:46.816488,
52,61822,KXHIGHMIA-26AUG10-T95,kalshi,KXHIGHMIA-26AUG10-T95,weather,yes,0.01,48.2266973022909,2026-08-10 02:39:47.313869,true,2026-08-10 02:44:33.182857,1,win,47.74,0.98,0.02,0.96,maker_limit,,0.01,filled,2026-08-10 02:39:47.064686,
53,61823,KXHIGHTBOS-26AUG10-T93,kalshi,KXHIGHTBOS-26AUG10-T93,weather,yes,0.01,48.2266973022909,2026-08-10 02:39:47.810281,true,2026-08-10 02:44:33.349051,1,win,47.74,0.967741935483871,0.02,0.947741935483871,maker_limit,,0.01,filled,2026-08-10 02:39:47.56211,
54,61845,KXHIGHCHI-26AUG10-T89,kalshi,KXHIGHCHI-26AUG10-T89,weather,yes,0.01,48.1536927069473,2026-08-10 02:44:46.448384,true,2026-08-10 02:49:34.369217,1,win,47.67,0.98,0.02,0.96,maker_limit,,0.01,filled,2026-08-10 02:44:46.446714,
55,61846,KXHIGHMIA-26AUG10-T95,kalshi,KXHIGHMIA-26AUG10-T95,weather,yes,0.01,48.1536927069473,2026-08-10 02:44:46.947239,true,2026-08-10 02:49:34.534606,1,win,47.67,0.98,0.02,0.96,maker_limit,,0.01,filled,2026-08-10 02:44:46.699017,
56,61847,KXHIGHTBOS-26AUG10-T93,kalshi,KXHIGHTBOS-26AUG10-T93,weather,yes,0.01,48.1536927069473,2026-08-10 02:44:47.444659,true,2026-08-10 02:49:34.704804,1,win,47.67,0.967741935483871,0.02,0.947741935483871,maker_limit,,0.01,filled,2026-08-10 02:44:47.195584,
